Won Hand,Trials,Reward
1177,3670,-3181
1182,3680,-3176
1188,3690,-3157
1191,3700,-3163
1193,3710,-3183
1196,3720,-3192
1198,3730,-3213
1201,3740,-3220
1204,3750,-3225
1209,3760,-3217
1214,3770,-3201
1218,3780,-3196
1223,3790,-3184
1226,3800,-3201
1230,3810,-3204
1235,3820,-3185
1240,3830,-3175
1245,3840,-3161
1250,3850,-3150
1253,3860,-3143
1257,3870,-3147
1258,3880,-3183
1260,3890,-3196
1265,3900,-3187
1269,3910,-3169
1274,3920,-3153
1278,3930,-3156
1280,3940,-3184
1284,3950,-3181
1288,3960,-3186
1291,3970,-3195
1295,3980,-3192
1295,3990,-3242
1299,4000,-3243
1306,4010,-3212
1310,4020,-3206
1312,4030,-3232
1315,4040,-3246
1318,4050,-3255
1320,4060,-3267
1325,4070,-3251
1330,4080,-3241
1333,4090,-3253
1335,4100,-3273
1338,4110,-3288
1342,4120,-3285
1348,4130,-3264
1355,4140,-3225
1356,4150,-3243
1362,4160,-3221
1366,4170,-3213
1370,4180,-3212
1374,4190,-3215
1378,4200,-3205
1385,4210,-3171
1389,4220,-3174
1393,4230,-3173
1396,4240,-3181
1403,4250,-3151
1407,4260,-3149
1412,4270,-3138
1416,4280,-3136
1417,4290,-3163
1418,4300,-3190
1424,4310,-3169
1428,4320,-3174
1431,4330,-3180
1434,4340,-3196
1439,4350,-3186
1442,4360,-3198
1445,4370,-3215
1447,4380,-3242
1450,4390,-3257
1454,4400,-3257
1458,4410,-3250
1462,4420,-3250
1469,4430,-3218
1471,4440,-3244
1476,4450,-3218
1479,4460,-3231
1483,4470,-3231
1485,4480,-3253
1487,4490,-3272
1490,4500,-3277
1492,4510,-3294
1495,4520,-3302
1499,4530,-3294
1500,4540,-3329
1506,4550,-3309
1511,4560,-3286
1513,4570,-3307
1518,4580,-3291
1520,4590,-3313
1522,4600,-3326
1525,4610,-3335
1530,4620,-3325
1535,4630,-3308
1539,4640,-3290
1544,4650,-3270
1546,4660,-3284
1550,4670,-3285
1558,4680,-3241
1564,4690,-3218
1567,4700,-3228
1573,4710,-3196
1576,4720,-3196
1580,4730,-3195
1585,4740,-3181
1589,4750,-3167
1592,4760,-3168
1596,4770,-3155
1601,4780,-3135
1608,4790,-3106
1614,4800,-3074
1618,4810,-3072
1621,4820,-3077
1629,4830,-3032
1634,4840,-3022
1637,4850,-3017
1642,4860,-3004
1644,4870,-3019
1650,4880,-2990
1656,4890,-2970
1659,4900,-2979
1659,4910,-3017
1663,4920,-3012
1666,4930,-3017
1667,4940,-3037
1670,4950,-3046
1674,4960,-3045
1676,4970,-3058
1681,4980,-3047
1685,4990,-3036
1693,5000,-2987
1697,5010,-2972
1700,5020,-2976
1702,5030,-2982
1706,5040,-2976
1709,5050,-2971
1711,5060,-2987
1716,5070,-2960
1720,5080,-2956
1724,5090,-2957
1728,5100,-2958
1732,5110,-2954
1737,5120,-2945
1738,5130,-2971
1744,5140,-2949
1746,5150,-2966
1750,5160,-2969
1755,5170,-2960
1760,5180,-2939
1766,5190,-2915
1772,5200,-2892
1774,5210,-2913
1780,5220,-2886
1785,5230,-2875
1788,5240,-2878
1793,5250,-2871
1798,5260,-2850
1802,5270,-2833
1807,5280,-2822
1807,5290,-2858
1811,5300,-2848
1812,5310,-2883
1818,5320,-2859
1823,5330,-2845
1827,5340,-2837
1828,5350,-2863
1829,5360,-2878
1833,5370,-2874
1838,5380,-2853
1840,5390,-2856
1843,5400,-2861
1846,5410,-2866
1849,5420,-2874
1853,5430,-2864
1855,5440,-2874
1859,5450,-2866
1863,5460,-2855
1866,5470,-2868
1870,5480,-2870
1874,5490,-2860
1876,5500,-2883
1879,5510,-2877
1881,5520,-2883
1887,5530,-2864
1891,5540,-2860
1897,5550,-2837
1900,5560,-2839
1905,5570,-2813
1909,5580,-2811
1914,5590,-2802
1917,5600,-2811
1920,5610,-2826
1924,5620,-2814
1926,5630,-2820
1928,5640,-2841
1928,5650,-2866
1932,5660,-2867
1937,5670,-2846
1940,5680,-2851
1942,5690,-2857
1944,5700,-2878
1948,5710,-2878
1951,5720,-2884
1955,5730,-2867
1957,5740,-2884
1960,5750,-2891
1964,5760,-2893
1969,5770,-2881
1976,5780,-2849
1980,5790,-2841
1985,5800,-2829
1990,5810,-2810
1993,5820,-2818
1997,5830,-2814
1999,5840,-2832
2002,5850,-2838
2008,5860,-2809
2012,5870,-2804
2018,5880,-2785
2024,5890,-2759
2029,5900,-2748
2035,5910,-2731
2040,5920,-2723
2044,5930,-2723
2047,5940,-2718
2052,5950,-2708
2059,5960,-2673
2062,5970,-2669
2066,5980,-2658
2069,5990,-2643
