Won Hand,Trials,Reward
1654,4180,1577
1657,4190,1575
1659,4200,1551
1662,4210,1537
1666,4220,1544
1674,4230,1589
1680,4240,1612
1683,4250,1610
1687,4260,1610
1693,4270,1641
1697,4280,1648
1702,4290,1671
1706,4300,1682
1712,4310,1704
1716,4320,1714
1719,4330,1708
1725,4340,1726
1728,4350,1722
1733,4360,1736
1737,4370,1746
1743,4380,1767
1749,4390,1793
1752,4400,1783
1757,4410,1797
1759,4420,1787
1759,4430,1757
1762,4440,1750
1767,4450,1773
1771,4460,1773
1773,4470,1762
1777,4480,1759
1780,4490,1762
1781,4500,1742
1785,4510,1741
1788,4520,1740
1790,4530,1723
1792,4540,1705
1796,4550,1720
1801,4560,1734
1805,4570,1745
1809,4580,1750
1813,4590,1754
1817,4600,1751
1819,4610,1733
1820,4620,1712
1826,4630,1747
1832,4640,1768
1835,4650,1767
1839,4660,1766
1844,4670,1776
1848,4680,1785
1852,4690,1790
1857,4700,1804
1861,4710,1804
1863,4720,1784
1868,4730,1799
1871,4740,1793
1875,4750,1803
1881,4760,1823
1884,4770,1820
1888,4780,1828
1893,4790,1852
1896,4800,1852
1899,4810,1846
1904,4820,1862
1907,4830,1848
1911,4840,1856
1914,4850,1846
1918,4860,1859
1921,4870,1846
1926,4880,1857
1929,4890,1852
1933,4900,1854
1938,4910,1874
1939,4920,1841
1943,4930,1854
1945,4940,1843
1946,4950,1818
1949,4960,1819
1954,4970,1838
1959,4980,1855
1961,4990,1838
1964,5000,1831
1966,5010,1815
1969,5020,1806
1975,5030,1828
1977,5040,1818
1982,5050,1835
1985,5060,1839
1988,5070,1833
1992,5080,1836
1995,5090,1827
1998,5100,1814
2003,5110,1828
2004,5120,1823
2010,5130,1842
2016,5140,1869
2019,5150,1865
2021,5160,1853
2025,5170,1858
2030,5180,1875
2033,5190,1867
2037,5200,1876
2040,5210,1863
2047,5220,1895
2051,5230,1896
2057,5240,1914
2060,5250,1902
2064,5260,1896
2067,5270,1893
2069,5280,1869
2075,5290,1891
2078,5300,1894
2083,5310,1907
2086,5320,1907
2088,5330,1882
2091,5340,1880
2093,5350,1877
2098,5360,1882
2103,5370,1891
2107,5380,1898
2109,5390,1893
2113,5400,1904
2114,5410,1871
2118,5420,1875
2125,5430,1904
2132,5440,1934
2138,5450,1952
2141,5460,1958
2146,5470,1970
2150,5480,1968
2154,5490,1976
2156,5500,1965
2161,5510,1979
2165,5520,1979
2171,5530,2009
2175,5540,2020
2179,5550,2022
2183,5560,2027
2187,5570,2032
2190,5580,2026
2193,5590,2021
2198,5600,2038
2201,5610,2030
2205,5620,2029
2210,5630,2036
2215,5640,2054
2218,5650,2048
2218,5660,2025
2222,5670,2032
2228,5680,2056
2232,5690,2058
2235,5700,2065
2241,5710,2093
2246,5720,2112
2248,5730,2093
2254,5740,2109
2257,5750,2102
2262,5760,2121
2266,5770,2127
2272,5780,2150
2274,5790,2143
2279,5800,2151
2283,5810,2161
2285,5820,2142
